,Bag_Number,Plot_ID,Block,Fragment_location,Fragment_Type,Habitat_Treatment,Plot_Type,Buoyant_weight_Initial,Salinity_initial,Temperature_Initial,Initial_SW_density.kg.m3.,Buoyantweight_final,Temp_Final,Salin_final,Tag_number,Final_SW_density.kg.m3.,Plot_Recovered,Consolidation,Initial_est_weight,Initial_est_weight_corr,Final_est_weight,Final_est_weight_corr,Diff_weight,z_correct,Diff_weight_corr,proplost_corr,frag_recover
112,148,B8_Z_PC,8,Corner,DCOR,ZPUL,Partial,10.47,34,26.5,1022.12,NA,NA,NA,357,NA,yes,No,16.07915592,16.07915592,NA,NA,NA,0.029960147,NA,NA,0
113,115,B8_DC1_OP,8,Center,DCOR,DCOR,Open,7.2,34,26.8,1022.03,0.67,27.1,33.1,358,1021.26,yes,No,11.05677762,11.05677762,1.028479521,1.028479521,10.0282981,0.092118779,10.0282981,0.906981984,1
114,116,B8_DC2_OP,8,Corner,DCOR,DCOR,Open,15.27,34,26.8,1022.03,2.75,27.1,33.1,358,1021.26,yes,No,23.44958254,23.44958254,4.221371166,4.221371166,19.22821137,0.030184266,19.22821137,0.819980967,1
115,138,B8_Z_EN,8,Corner,DCOR,ZPUL,Enclosure,7.05,34,26.5,1022.12,20.9,27.1,33.1,359,1021.26,yes,Yes,10.8269388,10.8269388,32.08242086,32.08242086,-21.25548206,0.028284138,-21.25548206,-1.963203307,1
116,28,B8_Z_EN,8,Center,ZPUL,ZPUL,Enclosure,11.94,33.9,28.1,1021.57,10.7,27.3,33,359,1021.12,yes,No,18.3314033,18.07116925,16.42376682,16.19061372,1.907636484,0.014196079,1.880555526,0.104063854,1
117,55,B8_DC1_EX,8,Center,DCOR,DCOR,Exclosure,13.17,34,26.8,1022.03,6.45,27.3,33,360,1021.12,yes,No,20.22468907,20.22468907,9.900308034,9.900308034,10.32438103,0.048509099,10.32438103,0.510484042,1
118,56,B8_DC2_EX,8,Corner,DCOR,DCOR,Exclosure,17.82,34,26.8,1022.03,4.05,27.3,33,360,1021.12,yes,No,27.36552462,27.36552462,6.216472486,6.216472486,21.14905213,0.033583131,21.14905213,0.772835618,1
119,75,B8_DC1_EN,8,Center,DCOR,DCOR,Enclosure,5.55,34,26.8,1022.03,NA,NA,NA,361,NA,yes,No,8.522932751,8.522932751,NA,NA,NA,0.027984337,NA,NA,0
120,76,B8_DC2_EN,8,Corner,DCOR,DCOR,Enclosure,6.6,34,26.8,1022.03,NA,NA,NA,361,NA,yes,No,10.13537949,10.13537949,NA,NA,NA,0.017632282,NA,NA,0
121,95,B8_DC1_PC,8,Center,DCOR,DCOR,Partial,10.86,34,26.8,1022.03,1.68,27.3,33,362,1021.12,yes,No,16.67730625,16.67730625,2.578684883,2.578684883,14.09862136,0.024614176,14.09862136,0.845377614,1
122,96,B8_DC2_PC,8,Corner,DCOR,DCOR,Partial,6.64,34,26.8,1022.03,NA,NA,NA,362,NA,yes,No,10.19680603,10.19680603,NA,NA,NA,0.048202649,NA,NA,0
123,23,B8_Z_EX,8,Center,ZPUL,ZPUL,Exclosure,17.78,33.5,28.3,1021.17,16.81,27.3,33,363,1021.12,yes,No,27.29179655,24.53812376,25.80219815,23.19882205,1.489598398,0.100897454,1.339301712,0.054580445,1
124,128,B8_Z_EX,8,Corner,DCOR,ZPUL,Exclosure,10.2,34,26.7,1022.06,9.61,27.3,33,363,1021.12,yes,No,15.66401459,15.66401459,14.7506915,14.7506915,0.913323087,0.03081621,0.913323087,0.058307089,1
125,38,B8_Z_OP,8,Center,ZPUL,ZPUL,Open,8.22,33.9,27.6,1021.7,5.1,27.1,33.1,364,1021.26,yes,No,12.62097155,12.08396521,7.828724708,7.495622399,4.792246837,0.042548732,4.588342811,0.379705066,1
126,158,B8_Z_OP,8,Corner,DCOR,ZPUL,Open,14.9,34,26.5,1022.12,4.19,27.3,33,364,1021.12,yes,No,22.8824664,22.8824664,6.431362893,6.431362893,16.45110351,0.062142898,16.45110351,0.718939262,1
127,117,B9_DC1_OP,9,Center,DCOR,DCOR,Open,21.48,34,26.8,1022,NA,NA,NA,365,NA,yes,No,32.98553459,32.98553459,NA,NA,NA,0.070218581,NA,NA,0
128,118,B9_DC2_OP,9,Corner,DCOR,DCOR,Open,6.64,34,26.8,1022,NA,NA,NA,365,NA,yes,No,10.1966457,10.1966457,NA,NA,NA,0.047547653,NA,NA,0
129,24,B9_Z_EX,9,Center,ZPUL,ZPUL,Exclosure,15.57,33.5,28.3,1021.17,11.42,27.1,33.1,366,1021.26,yes,No,23.89950912,22.08834557,17.53020317,16.20172128,6.369305953,0.075782458,5.886624291,0.266503631,1
130,129,B9_Z_EX,9,Corner,DCOR,ZPUL,Exclosure,4.79,34,26.7,1022.06,1.97,27.1,33.1,366,1021.26,yes,No,7.355944107,7.355944107,3.024036799,3.024036799,4.331907308,0.045153462,4.331907308,0.588898888,1
131,27,B9_Z_EN,9,Center,ZPUL,ZPUL,Enclosure,22.19,33.9,28,1021.57,3.94,26.7,33.1,367,1021.38,yes,No,34.06816074,32.78057912,6.048453857,5.819856895,28.01970688,0.037794281,26.96072222,0.822460217,1
132,139,B9_Z_EN,9,Corner,DCOR,ZPUL,Enclosure,21.09,34,26.5,1022.12,6.32,26.7,33.1,367,1021.38,yes,No,32.38867224,32.38867224,9.70208842,9.70208842,22.68658382,0.003465487,22.68658382,0.700448097,1
133,32,B9_Z_PC,9,Center,ZPUL,ZPUL,Partial,13.15,33.9,27.9,1021.5,13.59,27.1,33.1,368,1021.26,yes,No,20.18836783,19.37543833,20.86124878,20.02122424,-0.672880954,0.040267222,-0.645785907,-0.033330131,1
134,149,B9_Z_PC,9,Corner,DCOR,ZPUL,Partial,10.26,34,26.5,1022.12,NA,NA,NA,368,NA,yes,No,15.75665136,15.75665136,NA,NA,NA,0.01281269,NA,NA,0
135,37,B9_Z_OP,9,Center,ZPUL,ZPUL,Open,27.11,33.9,27.6,1021.7,17.38,27.1,33.1,369,1021.26,yes,No,41.62463973,40.49186612,26.67906577,25.95302125,14.94557396,0.027214016,14.53884487,0.359055936,1
136,159,B9_Z_OP,9,Corner,DCOR,ZPUL,Open,9.29,34,26.5,1022.12,NA,NA,NA,369,NA,yes,No,14.26698744,14.26698744,NA,NA,NA,0.064921073,NA,NA,0
137,77,B9_DC1_EN,9,Center,DCOR,DCOR,Enclosure,5.78,34,26.8,1022.03,1.59,27.1,33.1,370,1021.26,yes,No,8.876135369,8.876135369,2.440720056,2.440720056,6.435415313,0.027370198,6.435415313,0.725024467,1
138,78,B9_DC2_EN,9,Corner,DCOR,DCOR,Enclosure,8.58,34,26.8,1022.03,NA,NA,NA,370,NA,yes,No,13.17599333,13.17599333,NA,NA,NA,0.016661185,NA,NA,0
139,97,B9_DC1_PC,9,Center,DCOR,DCOR,Partial,13.01,34,26.8,1022.03,NA,NA,NA,371,NA,yes,No,19.9789829,19.9789829,NA,NA,NA,0.075881641,NA,NA,0
140,98,B9_DC2-PC,9,Corner,DCOR,DCOR,Partial,9.81,34,26.8,1022.03,NA,NA,NA,371,NA,yes,No,15.06485951,15.06485951,NA,NA,NA,0.034543409,NA,NA,0
