Bag_Number,Plot_ID,Block,Fragment_location,Fragment_Type,Habitat_Treatment,Plot_Type,Buoyant_weight_Initial,Salinity_initial,Temperature_Initial,Broken_Frag_piece_weight_initial,Broke_Temp_initial,Broke_Sal_initial,Initial_SW_density.kg.m3.,Buoyantweight_final,Temp_Final,Salin_final,Tag_number,Final_SW_density.kg.m3.,Plot_Recovered,Consolidation,Initial_est_weight,Initial_est_weight_corr,Final_est_weight,Final_est_weight_corr,Diff_weight,z_correct,Diff_weight_corr,proplost_corr,frag_recover,Fragment_Type_dummy,Ex_dummy,Enc_dummy,Partial_dummy,Open_dummy,Frag_loc_dummy,Hab_treat_dummy
38,B8_Z_OP,8,Center,ZPUL,ZPUL,Open,8.22,33.9,27.6,NA,NA,NA,1021.7,5.1,27.1,33.1,364,1021.26,yes,No,12.62097155,12.08396521,7.828724708,7.495622399,4.792246837,0.042548732,4.588342811,0.379705066,1,1,0,0,0,1,0,1
158,B8_Z_OP,8,Corner,DCOR,ZPUL,Open,14.9,34,26.5,NA,NA,NA,1022.12,4.19,27.3,33,364,1021.12,yes,No,22.8824664,22.8824664,6.431362893,6.431362893,16.45110351,0.062142898,16.45110351,0.718939262,1,0,0,0,0,1,1,1
24,B9_Z_EX,9,Center,ZPUL,ZPUL,Exclosure,15.57,33.5,28.3,NA,NA,NA,1021.17,11.42,27.1,33.1,366,1021.26,yes,No,23.89950912,22.08834557,17.53020317,16.20172128,6.369305953,0.075782458,5.886624291,0.266503631,1,1,1,0,0,0,0,1
129,B9_Z_EX,9,Corner,DCOR,ZPUL,Exclosure,4.79,34,26.7,NA,NA,NA,1022.06,1.97,27.1,33.1,366,1021.26,yes,No,7.355944107,7.355944107,3.024036799,3.024036799,4.331907308,0.045153462,4.331907308,0.588898888,1,0,1,0,0,0,1,1
27,B9_Z_EN,9,Center,ZPUL,ZPUL,Enclosure,22.19,33.9,28,NA,NA,NA,1021.57,3.94,26.7,33.1,367,1021.38,yes,No,34.06816074,32.78057912,6.048453857,5.819856895,28.01970688,0.037794281,26.96072222,0.822460217,1,1,0,1,0,0,0,1
139,B9_Z_EN,9,Corner,DCOR,ZPUL,Enclosure,21.09,34,26.5,NA,NA,NA,1022.12,6.32,26.7,33.1,367,1021.38,yes,No,32.38867224,32.38867224,9.70208842,9.70208842,22.68658382,0.003465487,22.68658382,0.700448097,1,0,0,1,0,0,1,1
32,B9_Z_PC,9,Center,ZPUL,ZPUL,Partial,13.15,33.9,27.9,NA,NA,NA,1021.5,13.59,27.1,33.1,368,1021.26,yes,No,20.18836783,19.37543833,20.86124878,20.02122424,-0.672880954,0.040267222,-0.645785907,-0.033330131,1,1,0,0,1,0,0,1
37,B9_Z_OP,9,Center,ZPUL,ZPUL,Open,27.11,33.9,27.6,NA,NA,NA,1021.7,17.38,27.1,33.1,369,1021.26,yes,No,41.62463973,40.49186612,26.67906577,25.95302125,14.94557396,0.027214016,14.53884487,0.359055936,1,1,0,0,0,1,0,1
77,B9_DC1_EN,9,Center,DCOR,DCOR,Enclosure,5.78,34,26.8,NA,NA,NA,1022.03,1.59,27.1,33.1,370,1021.26,yes,No,8.876135369,8.876135369,2.440720056,2.440720056,6.435415313,0.027370198,6.435415313,0.725024467,1,0,0,1,0,0,0,0
57,B9_DC1_EX,9,Center,DCOR,DCOR,Exclosure,11.98,34,26.8,NA,NA,NA,1022.03,12.01,27.1,33.1,372,1021.26,yes,Yes,18.39724943,18.39724943,18.43587917,18.43587917,-0.038629734,0.039559026,-0.038629734,-0.002099756,1,0,1,0,0,0,0,0
58,B9_DC2_EX,9,Corner,DCOR,DCOR,Exclosure,6,34,26.8,NA,NA,NA,1022.03,1.76,27.1,33.1,372,1021.26,yes,No,9.213981352,9.213981352,2.701677546,2.701677546,6.512303805,0.018355601,6.512303805,0.706785,1,0,1,0,0,0,1,0
25,B10_Z_EX,10,Center,ZPUL,ZPUL,Exclosure,24.7,33.5,28.3,NA,NA,NA,1021.17,31.77,27.1,33.1,373,1021.26,yes,Yes,37.9138006,35.55821025,48.7683498,45.73836461,-10.8545492,0.062130156,-10.18015436,-0.286295466,1,1,1,0,0,0,0,1
130,B10_Z_EX,10,Corner,DCOR,ZPUL,Exclosure,15.2,34,26.7,NA,NA,NA,1022.06,3.82,27.1,33.1,373,1021.26,yes,No,23.34245312,23.34245312,5.863868311,5.863868311,17.47858481,8.74E-05,17.47858481,0.748789543,1,0,1,0,0,0,1,1
59,B10_DC1_EX,10,Center,DCOR,DCOR,Exclosure,14.34,34,26.8,NA,NA,NA,1022.03,11.49,27.1,33.1,375,1021.26,yes,No,22.02141543,22.02141543,17.63765625,17.63765625,4.383759176,0.006487609,4.383759176,0.199068002,1,0,1,0,0,0,0,0
79,B10_DC1_EN,10,Center,DCOR,DCOR,Enclosure,9.18,34,26.8,NA,NA,NA,1022.03,3.78,27.1,33.1,376,1021.26,yes,No,14.09739147,14.09739147,5.802466549,5.802466549,8.29492492,0.011249747,8.29492492,0.588401403,1,0,0,1,0,0,0,0
36,B10_Z_OP,10,Center,ZPUL,ZPUL,Open,10.12,34,27.6,NA,NA,NA,1021.77,8.64,27.1,33.1,379,1021.26,yes,No,15.53879773,14.69882462,13.26278068,12.5458411,2.276017051,0.054056506,2.152983522,0.146473176,1,1,0,0,0,1,0,1
26,B10_Z_EN,10,Center,ZPUL,ZPUL,Enclosure,18.24,33.9,28,NA,NA,NA,1021.57,21.45,27.1,33.1,380,1021.26,yes,Yes,28.00375178,28.33839171,32.9266951,33.32016334,-4.922943322,-0.011949825,-4.981771633,-0.175795849,1,1,0,1,0,0,0,1
